user_id,user_name,recommended_course,course_description,discount,probability,price
1,Пользователь_1,DeFi и децентрализованные финансы,"Курс о продуктах децентрализованных финансов. Вы узнаете, как работают DeFi-протоколы, стейкинг, фарминг доходности и связанные с ними риски.",5%,81,47000
1,Пользователь_1,Управление инвестиционным портфелем,"Курс о системном подходе к инвестициям. Вы научитесь распределять активы, оценивать риск-профиль и регулярно ребалансировать портфель.",5%,98,46000
1,Пользователь_1,Психология инвестирования,"Курс о поведенческих ошибках инвесторов. Вы узнаете, как эмоции влияют на решения, научитесь избегать паники и следовать своей стратегии.",20%,98,27000
1,Пользователь_1,Облигации: надёжный доход,"Курс посвящён инвестициям в облигации. Вы разберётесь в видах облигаций, доходности, дюрации, кредитных рисках и научитесь подбирать облигации под свои цели.",15%,77,30000
1,Пользователь_1,Инвестиции через доверительное управление,"Курс о передаче средств в управление профессионалам. Вы узнаете, как выбирать управляющие компании, оценивать их результаты и комиссии.",0%,87,36000
1,Пользователь_1,Трейдинг криптовалютами,"Практический курс по активной торговле криптовалютами. Вы изучите стратегии входа и выхода, работу с ордерами, управление рисками и психологию трейдинга.",10%,79,55000
1,Пользователь_1,Риск-менеджмент в инвестициях,"Курс по управлению инвестиционными рисками. Вы научитесь ограничивать потери, использовать стоп-лоссы и оценивать риск на уровне портфеля.",0%,84,41000
1,Пользователь_1,Инвестиции в IPO,"Курс о работе с первичными размещениями акций. Вы разберётесь, как отбирать IPO, оценивать перспективы компаний и риски участия.",10%,90,50000
1,Пользователь_1,Криптовалюты: что это и как инвестировать,"Курс для понимания криптовалютного рынка. Вы разберётесь, что такое блокчейн, биткоин и альткоины, как оценивать проекты и управлять высокой волатильностью.",0%,72,39000
1,Пользователь_1,Фьючерсы и опционы,"Курс по производным финансовым инструментам. Вы разберётесь в механике фьючерсов и опционов, хеджировании, спекулятивных стратегиях и управлении маржой.",0%,76,62000
1,Пользователь_1,Инвестиции с нуля: как работает рынок,"Вводный курс для начинающих инвесторов. Вы разберётесь, как устроены финансовые рынки, чем отличаются акции, облигации и фонды, и как формируется доходность и риск инвестиций.",20%,97,25000
1,Пользователь_1,Структурные продукты,"Курс о сложных инвестиционных продуктах. Вы разберётесь в принципах работы структурных нот, защите капитала и сценариях доходности.",20%,72,58000
1,Пользователь_1,Инвестиции в сырьевые рынки,"Курс по инвестициям в нефть, золото и другие сырьевые активы. Вы узнаете, какие факторы влияют на цены и как использовать сырьё для диверсификации портфеля.",10%,70,44000
1,Пользователь_1,Автоследование и копирование сделок,"Курс о продукте автоследования и копировании стратегий. Вы узнаете, как выбирать трейдеров, оценивать статистику стратегий и контролировать риски при автоторговле.",15%,77,35000
1,Пользователь_1,ETF и индексные фонды,"Курс о пассивных инвестициях через ETF и индексные фонды. Вы узнаете, как работают фонды, чем они отличаются друг от друга и как использовать их для диверсификации.",25%,82,28000
1,Пользователь_1,Торговля акциями на фондовом рынке,"Практический курс по торговле акциями. Вы научитесь анализировать компании, читать финансовую отчётность, использовать технический анализ и выстраивать торговые стратегии.",0%,71,48000
1,Пользователь_1,Алготрейдинг для частных инвесторов,"Курс по использованию алгоритмических стратегий в торговле. Вы познакомитесь с принципами алготрейдинга, тестированием стратегий и автоматизацией сделок.",25%,90,70000
1,Пользователь_1,Долгосрочные инвестиции и дивидендные стратегии,"Курс о формировании долгосрочного инвестиционного портфеля. Вы узнаете, как выбирать дивидендные компании, оценивать устойчивость бизнеса и управлять рисками на горизонте лет.",10%,87,42000
1,Пользователь_1,Финансовое планирование и личный капитал,"Курс о комплексном управлении личными финансами. Вы научитесь ставить финансовые цели, планировать инвестиции и выстраивать стратегию накоплений.",25%,80,33000
1,Пользователь_1,Недвижимость как инвестиционный продукт,"Курс об инвестициях в недвижимость. Вы изучите модели доходности, аренду, перепродажу и риски вложений в разные типы объектов.",15%,75,52000
2,Пользователь_2,ETF и индексные фонды,"Курс о пассивных инвестициях через ETF и индексные фонды. Вы узнаете, как работают фонды, чем они отличаются друг от друга и как использовать их для диверсификации.",20%,95,28000
2,Пользователь_2,Психология инвестирования,"Курс о поведенческих ошибках инвесторов. Вы узнаете, как эмоции влияют на решения, научитесь избегать паники и следовать своей стратегии.",0%,96,27000
2,Пользователь_2,Долгосрочные инвестиции и дивидендные стратегии,"Курс о формировании долгосрочного инвестиционного портфеля. Вы узнаете, как выбирать дивидендные компании, оценивать устойчивость бизнеса и управлять рисками на горизонте лет.",15%,90,42000
2,Пользователь_2,Инвестиции в сырьевые рынки,"Курс по инвестициям в нефть, золото и другие сырьевые активы. Вы узнаете, какие факторы влияют на цены и как использовать сырьё для диверсификации портфеля.",5%,79,44000
2,Пользователь_2,Инвестиции в IPO,"Курс о работе с первичными размещениями акций. Вы разберётесь, как отбирать IPO, оценивать перспективы компаний и риски участия.",25%,80,50000
2,Пользователь_2,Облигации: надёжный доход,"Курс посвящён инвестициям в облигации. Вы разберётесь в видах облигаций, доходности, дюрации, кредитных рисках и научитесь подбирать облигации под свои цели.",15%,94,30000
2,Пользователь_2,DeFi и децентрализованные финансы,"Курс о продуктах децентрализованных финансов. Вы узнаете, как работают DeFi-протоколы, стейкинг, фарминг доходности и связанные с ними риски.",20%,98,47000
2,Пользователь_2,Автоследование и копирование сделок,"Курс о продукте автоследования и копировании стратегий. Вы узнаете, как выбирать трейдеров, оценивать статистику стратегий и контролировать риски при автоторговле.",25%,95,35000
2,Пользователь_2,Торговля акциями на фондовом рынке,"Практический курс по торговле акциями. Вы научитесь анализировать компании, читать финансовую отчётность, использовать технический анализ и выстраивать торговые стратегии.",20%,74,48000
2,Пользователь_2,Риск-менеджмент в инвестициях,"Курс по управлению инвестиционными рисками. Вы научитесь ограничивать потери, использовать стоп-лоссы и оценивать риск на уровне портфеля.",5%,84,41000
2,Пользователь_2,Управление инвестиционным портфелем,"Курс о системном подходе к инвестициям. Вы научитесь распределять активы, оценивать риск-профиль и регулярно ребалансировать портфель.",10%,91,46000
2,Пользователь_2,Финансовое планирование и личный капитал,"Курс о комплексном управлении личными финансами. Вы научитесь ставить финансовые цели, планировать инвестиции и выстраивать стратегию накоплений.",20%,89,33000
2,Пользователь_2,Фьючерсы и опционы,"Курс по производным финансовым инструментам. Вы разберётесь в механике фьючерсов и опционов, хеджировании, спекулятивных стратегиях и управлении маржой.",10%,73,62000
2,Пользователь_2,Криптовалюты: что это и как инвестировать,"Курс для понимания криптовалютного рынка. Вы разберётесь, что такое блокчейн, биткоин и альткоины, как оценивать проекты и управлять высокой волатильностью.",10%,74,39000
2,Пользователь_2,Структурные продукты,"Курс о сложных инвестиционных продуктах. Вы разберётесь в принципах работы структурных нот, защите капитала и сценариях доходности.",10%,78,58000
2,Пользователь_2,Инвестиции через доверительное управление,"Курс о передаче средств в управление профессионалам. Вы узнаете, как выбирать управляющие компании, оценивать их результаты и комиссии.",0%,88,36000
2,Пользователь_2,Трейдинг криптовалютами,"Практический курс по активной торговле криптовалютами. Вы изучите стратегии входа и выхода, работу с ордерами, управление рисками и психологию трейдинга.",0%,86,55000
2,Пользователь_2,Недвижимость как инвестиционный продукт,"Курс об инвестициях в недвижимость. Вы изучите модели доходности, аренду, перепродажу и риски вложений в разные типы объектов.",20%,74,52000
2,Пользователь_2,Инвестиции с нуля: как работает рынок,"Вводный курс для начинающих инвесторов. Вы разберётесь, как устроены финансовые рынки, чем отличаются акции, облигации и фонды, и как формируется доходность и риск инвестиций.",25%,74,25000
2,Пользователь_2,Алготрейдинг для частных инвесторов,"Курс по использованию алгоритмических стратегий в торговле. Вы познакомитесь с принципами алготрейдинга, тестированием стратегий и автоматизацией сделок.",0%,94,70000
3,Пользователь_3,ETF и индексные фонды,"Курс о пассивных инвестициях через ETF и индексные фонды. Вы узнаете, как работают фонды, чем они отличаются друг от друга и как использовать их для диверсификации.",0%,89,28000
3,Пользователь_3,Долгосрочные инвестиции и дивидендные стратегии,"Курс о формировании долгосрочного инвестиционного портфеля. Вы узнаете, как выбирать дивидендные компании, оценивать устойчивость бизнеса и управлять рисками на горизонте лет.",25%,72,42000
3,Пользователь_3,Автоследование и копирование сделок,"Курс о продукте автоследования и копировании стратегий. Вы узнаете, как выбирать трейдеров, оценивать статистику стратегий и контролировать риски при автоторговле.",10%,82,35000
3,Пользователь_3,Алготрейдинг для частных инвесторов,"Курс по использованию алгоритмических стратегий в торговле. Вы познакомитесь с принципами алготрейдинга, тестированием стратегий и автоматизацией сделок.",25%,70,70000
3,Пользователь_3,Психология инвестирования,"Курс о поведенческих ошибках инвесторов. Вы узнаете, как эмоции влияют на решения, научитесь избегать паники и следовать своей стратегии.",20%,98,27000
